Status: Sucesso, Entidade: sesi, UF: cn, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_cn_sesi_2022-07-22.csv
Status: Falha, Entidade: sesi, UF: ct, Data Consulta: 2022-07-22
Status: Sucesso, Entidade: sesi, UF: al, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_al_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ba, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ba_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: se, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_se_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: pe, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pe_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: pb, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pb_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: rn, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rn_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ce, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ce_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: pi, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pi_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ma, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ma_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ac, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ac_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ap, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ap_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: am, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_am_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: pa, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pa_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: rr, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rr_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ro, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ro_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: to, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_to_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: ms, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ms_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: mt, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_mt_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: go, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_go_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: df, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_df_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: dn, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_dn_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: rj, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rj_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: sp, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_sp_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: es, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_es_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: mg, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_mg_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: rs, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rs_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: pr, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pr_sesi_2022-07-22.csv
Status: Sucesso, Entidade: sesi, UF: sc, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_sc_sesi_2022-07-22.csv
Status: Falha, Entidade: senai, UF: cn, Data Consulta: 2022-07-22
Status: Sucesso, Entidade: senai, UF: ct, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ct_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: al, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_al_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: ba, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ba_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: se, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_se_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: pe, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pe_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: pb, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pb_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: rn, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_rn_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: ce, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ce_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: pi, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_pi_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: ma, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ma_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: ac, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ac_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: ap, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_ap_senai_2022-07-22.csv
Status: Sucesso, Entidade: senai, UF: am, Data Consulta: 2022-07-22, Caminho Arquivo: csv/df_am_senai_2022-07-22.csv
